controller,speed_kmh,target_force_N,mean_force_N,std_force_N,cv_percent,min_force_N,max_force_N,contact_loss_percent,NoC,ATR_percent,effort_N2s,mechanical_work_J,signed_mechanical_work_J,trial,scenario_seed,measurement_noise_std_N,actuator_delay_s,actuator_time_constant_s,irregularity_scale,mass_scale_1,mass_scale_2,mass_scale_3,stiffness_scale_1,stiffness_scale_2,stiffness_scale_3,damping_scale_3,contact_stiffness_scale
Passive,300.0,157.3,168.16114740475572,98.47734980194979,58.56129749455121,84.77615661798393,460.39578969280007,0.0,0,0.0,0.0,0.0,0.0,1,1159259416,2.0,0.005,0.015,1.178564017169005,0.9678971766516108,1.0152599755981129,0.9081843625348296,0.9391544899107706,1.0333945979184942,0.9296979292646003,0.9607255405916412,0.9613238722764251
Continuous,300.0,157.3,165.5956083391328,93.4161991016923,56.41224428511405,88.44388531395292,462.07268833303357,0.0,1,100.0,75.69292270299968,1.6610781857165688,-0.6113674812300143,1,1159259416,2.0,0.005,0.015,1.178564017169005,0.9678971766516108,1.0152599755981129,0.9081843625348296,0.9391544899107706,1.0333945979184942,0.9296979292646003,0.9607255405916412,0.9613238722764251
T-APIC,300.0,157.3,168.21999335531683,97.00810715899621,57.667406367145794,88.21644385417524,468.0844295849559,0.0,8,27.594936708860757,22.933677820131997,0.6344408553076211,-0.1940664071956768,1,1159259416,2.0,0.005,0.015,1.178564017169005,0.9678971766516108,1.0152599755981129,0.9081843625348296,0.9391544899107706,1.0333945979184942,0.9296979292646003,0.9607255405916412,0.9613238722764251
E-APIC,300.0,157.3,169.1540889920751,97.03219547855629,57.36319828668302,88.21644385417524,471.55521166002933,0.0,6,18.73417721518987,17.684785618642497,0.42647168165413746,-0.011005598890503034,1,1159259416,2.0,0.005,0.015,1.178564017169005,0.9678971766516108,1.0152599755981129,0.9081843625348296,0.9391544899107706,1.0333945979184942,0.9296979292646003,0.9607255405916412,0.9613238722764251
ME-APIC,300.0,157.3,168.139454010456,97.23973822112079,57.83279052105985,87.94021698522991,465.6770519781131,0.0,7,22.531645569620252,16.02396731008333,0.4823710820282566,-0.1169499412121897,1,1159259416,2.0,0.005,0.015,1.178564017169005,0.9678971766516108,1.0152599755981129,0.9081843625348296,0.9391544899107706,1.0333945979184942,0.9296979292646003,0.9607255405916412,0.9613238722764251
Passive,350.0,188.825,194.2010190708342,169.17809073775763,87.11493459055973,97.96881390951259,1021.500890388299,0.0,0,0.0,0.0,0.0,0.0,1,1159259416,2.0,0.005,0.015,1.178564017169005,0.9678971766516108,1.0152599755981129,0.9081843625348296,0.9391544899107706,1.0333945979184942,0.9296979292646003,0.9607255405916412,0.9613238722764251
Continuous,350.0,188.825,192.71598527674595,166.74043522940846,86.52133085377645,100.24680365771718,1021.3817897726647,0.0,1,99.99999999999999,136.13569679704176,2.9303352859944836,-1.2739861496421614,1,1159259416,2.0,0.005,0.015,1.178564017169005,0.9678971766516108,1.0152599755981129,0.9081843625348296,0.9391544899107706,1.0333945979184942,0.9296979292646003,0.9607255405916412,0.9613238722764251
T-APIC,350.0,188.825,195.23142204646106,168.89504418238155,86.5101746491341,105.29333956425856,998.9121230442796,0.0,7,26.923076923076923,23.493129261459714,0.8797293389319424,-0.1930216896441875,1,1159259416,2.0,0.005,0.015,1.178564017169005,0.9678971766516108,1.0152599755981129,0.9081843625348296,0.9391544899107706,1.0333945979184942,0.9296979292646003,0.9607255405916412,0.9613238722764251
E-APIC,350.0,188.825,197.95350019795546,172.12834555858126,86.95392876935807,105.29333956425856,1011.4497723990225,0.0,5,16.420118343195266,36.25797814930339,0.8923619286919687,0.30716382438262346,1,1159259416,2.0,0.005,0.015,1.178564017169005,0.9678971766516108,1.0152599755981129,0.9081843625348296,0.9391544899107706,1.0333945979184942,0.9296979292646003,0.9607255405916412,0.9613238722764251
ME-APIC,350.0,188.825,194.00456307317052,167.85556159355795,86.52145028684184,103.06189155187036,997.0923031895644,0.0,7,23.076923076923073,27.44461634346314,0.874662000437817,-0.46637457443355507,1,1159259416,2.0,0.005,0.015,1.178564017169005,0.9678971766516108,1.0152599755981129,0.9081843625348296,0.9391544899107706,1.0333945979184942,0.9296979292646003,0.9607255405916412,0.9613238722764251
Passive,300.0,157.3,168.55844507043838,98.86044505836944,58.6505440395211,85.5617211161233,473.20309408226484,0.0,0,0.0,0.0,0.0,0.0,2,2037257404,2.0,0.005,0.015,0.8112797797935276,1.0419330327817269,0.9316646289055773,1.0477735548899636,0.933224478398405,0.9638482909356714,1.0252483846415041,0.9223760666720565,0.9765864004062519
Continuous,300.0,157.3,165.60132752517606,93.63113249437754,56.54008569474963,89.48118005520087,472.9351957742398,0.0,1,100.0,83.84300453011969,1.8232194432123126,-0.653795739900211,2,2037257404,2.0,0.005,0.015,0.8112797797935276,1.0419330327817269,0.9316646289055773,1.0477735548899636,0.933224478398405,0.9638482909356714,1.0252483846415041,0.9223760666720565,0.9765864004062519
T-APIC,300.0,157.3,168.4689882634853,97.37701612386202,57.80115208596402,89.10500339290182,478.71995580854684,0.0,8,27.594936708860757,23.749256153658763,0.6428129591889301,-0.23994733694664758,2,2037257404,2.0,0.005,0.015,0.8112797797935276,1.0419330327817269,0.9316646289055773,1.0477735548899636,0.933224478398405,0.9638482909356714,1.0252483846415041,0.9223760666720565,0.9765864004062519
E-APIC,300.0,157.3,169.57010553483394,97.44501416441878,57.46591585649578,89.10500339290182,482.20625418854826,0.0,6,18.73417721518987,16.71543925163999,0.45214214858340457,-0.019100284126178504,2,2037257404,2.0,0.005,0.015,0.8112797797935276,1.0419330327817269,0.9316646289055773,1.0477735548899636,0.933224478398405,0.9638482909356714,1.0252483846415041,0.9223760666720565,0.9765864004062519
ME-APIC,300.0,157.3,168.37589148047482,97.4671132212659,57.886620444452625,88.73291141069731,476.9339377209388,0.0,7,22.78481012658228,17.9283737586824,0.554171316553413,-0.12608079251867324,2,2037257404,2.0,0.005,0.015,0.8112797797935276,1.0419330327817269,0.9316646289055773,1.0477735548899636,0.933224478398405,0.9638482909356714,1.0252483846415041,0.9223760666720565,0.9765864004062519
Passive,350.0,188.825,195.75214325694398,173.99684547082774,88.88630416804158,100.69633062956639,1041.1238888078888,0.0,0,0.0,0.0,0.0,0.0,2,2037257404,2.0,0.005,0.015,0.8112797797935276,1.0419330327817269,0.9316646289055773,1.0477735548899636,0.933224478398405,0.9638482909356714,1.0252483846415041,0.9223760666720565,0.9765864004062519
Continuous,350.0,188.825,193.88264513418972,170.97242939626847,88.18346236092215,102.67423109696956,1023.8219559087955,0.0,1,99.99999999999999,140.65812348413428,2.988876085262685,-1.4065671333297336,2,2037257404,2.0,0.005,0.015,0.8112797797935276,1.0419330327817269,0.9316646289055773,1.0477735548899636,0.933224478398405,0.9638482909356714,1.0252483846415041,0.9223760666720565,0.9765864004062519
T-APIC,350.0,188.825,196.70736128046343,173.74199499766974,88.32511089910362,106.449649286446,1018.3609657467191,0.0,7,26.923076923076923,23.077872689081108,0.8737010504063278,-0.22581850443115561,2,2037257404,2.0,0.005,0.015,0.8112797797935276,1.0419330327817269,0.9316646289055773,1.0477735548899636,0.933224478398405,0.9638482909356714,1.0252483846415041,0.9223760666720565,0.9765864004062519
E-APIC,350.0,188.825,197.18880548496998,175.03420144765937,88.76477598065308,106.449649286446,1023.6617670958009,0.0,7,27.36686390532544,48.48113705960358,1.1690597702394518,-0.46147762194845265,2,2037257404,2.0,0.005,0.015,0.8112797797935276,1.0419330327817269,0.9316646289055773,1.0477735548899636,0.933224478398405,0.9638482909356714,1.0252483846415041,0.9223760666720565,0.9765864004062519
